N°,Nom de l'établissement,Ville (Contact),Pays,Photos,Statut,Priorite,SITE WEB HH,DROPBOX,APPLICATION HH,Conseillés par Happy house,Écran connecté,Lien Backoffice,Lien Dropbox,Site_Perso,Adresse,CP,Ville (Propriété),Département,Région,Date de création,Statut closing,Téléphone Extrait,Email 1 Extrait,Email 2 Extrait,Alerte Complétude
13,Chalet Hygge Saint Lary,Saint-Lary Soulan,France,14.0,Non contacte,"=IF(OR(E14<5, H14=""NON"", I14=""NON"", J14=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Saint-Lary Soulan,,,07/04/2023,En cours,+33 6 74 87 41 20,contact@locationshygge.com,N/D,"=IF(AND(H14=""OUI"", I14=""OUI"", J14=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
14,Chalet le Vertical,Les 2 Alpes,France,25.0,Non contacte,"=IF(OR(E15<5, H15=""NON"", I15=""NON"", J15=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Les 2 Alpes,,,24/03/2025,En cours,+33428382530,info@entegraps.eu,N/D,"=IF(AND(H15=""OUI"", I15=""OUI"", J15=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
15,Chalet Nantailly,Hauteluce,France,5.0,Non contacte,"=IF(OR(E16<5, H16=""NON"", I16=""NON"", J16=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Hauteluce,,,17/04/2023,En cours,+33 6 50 90 29 76,fabienne@chaletnantailly.fr,N/D,"=IF(AND(H16=""OUI"", I16=""OUI"", J16=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
16,Chalet Seignou,Azet,France,13.0,Non contacte,"=IF(OR(E17<5, H17=""NON"", I17=""NON"", J17=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Azet,,,22/11/2023,En cours,05 62 39 19 03 / 07 65 85 05 01,maisonseignou@gmail.com,N/D,"=IF(AND(H17=""OUI"", I17=""OUI"", J17=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
17,Chaleureux appartement,Toulouse,France,NON,Non contacte,"=IF(OR(E18<5, H18=""NON"", I18=""NON"", J18=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Toulouse,,,17/04/2023,En cours,N/D,N/D,N/D,"=IF(AND(H18=""OUI"", I18=""OUI"", J18=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
18,Château Bagen,Sauveterre-de-Comminges,France,45.0,Non contacte,"=IF(OR(E19<5, H19=""NON"", I19=""NON"", J19=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Sauveterre-de-Comminges,,,31/10/2025,En cours,+33 6 07 43 12 80,Welcome@chateau-bagen.com,N/D,"=IF(AND(H19=""OUI"", I19=""OUI"", J19=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
19,Chateau d'Aigrefeuille,Aigrefeuille,France,21.0,Non contacte,"=IF(OR(E20<5, H20=""NON"", I20=""NON"", J20=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Aigrefeuille,,,14/03/2024,En cours,+33 6 11 31 36 28,chateaudaigrefeuille31@gmail.com,N/D,"=IF(AND(H20=""OUI"", I20=""OUI"", J20=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
20,Château de la Baronnie,Lafrançaise,France,16.0,Non contacte,"=IF(OR(E21<5, H21=""NON"", I21=""NON"", J21=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Lafrançaise,,,19/07/2023,En cours,06 81 56 61 92,chateaulabaronnie@gmail.com,N/D,"=IF(AND(H21=""OUI"", I21=""OUI"", J21=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
21,Chateau de Verdalle,Verdalle,France,9.0,Non contacte,"=IF(OR(E22<5, H22=""NON"", I22=""NON"", J22=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Verdalle,,,07/04/2023,En cours,06 37 68 35 94 / 05 63 71 09 45,chateaudeverdalle81@gmail.com,N/D,"=IF(AND(H22=""OUI"", I22=""OUI"", J22=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
22,Château La Villaine- 15 couchages,Esvres-sur-Indre,France,20.0,Non contacte,"=IF(OR(E23<5, H23=""NON"", I23=""NON"", J23=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Esvres-sur-Indre,,,25/02/2026,En cours,07 86 53 97 31 / 02 47 26 42 10,info@chateaulavillaine.com,N/D,"=IF(AND(H23=""OUI"", I23=""OUI"", J23=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
23,Château les Estournels,Lendou en Quercy,France,52.0,Non contacte,"=IF(OR(E24<5, H24=""NON"", I24=""NON"", J24=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Lendou en Quercy,,,12/04/2024,En cours,07 83 23 39 36,chateaulesestournels@gmail.com,N/D,"=IF(AND(H24=""OUI"", I24=""OUI"", J24=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
24,Château St Jacques d'Albas,Laure-Minervois,France,19.0,Non contacte,"=IF(OR(E25<5, H25=""NON"", I25=""NON"", J25=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Laure-Minervois,,,21/03/2024,En cours,04 68 78 24 82,info@chateaustjacques.com,N/D,"=IF(AND(H25=""OUI"", I25=""OUI"", J25=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
25,Chez Pepe Merle,Paris,France,22.0,Non contacte,"=IF(OR(E26<5, H26=""NON"", I26=""NON"", J26=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Paris,,,17/10/2024,En cours,06 61 44 60 15,bienvenue@chezpepemerle.fr,N/D,"=IF(AND(H26=""OUI"", I26=""OUI"", J26=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
26,Chez Sandrine,Cilaos,Réunion,NON,Non contacte,"=IF(OR(E27<5, H27=""NON"", I27=""NON"", J27=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, ,N/D,N/D,,, ,Cilaos,,,17/04/2023,En cours,02 62 01 09 87 / 06 92 35 08 60,sandijoux@gmail.com,N/D,"=IF(AND(H27=""OUI"", I27=""OUI"", J27=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
27,Clos des coustoulins,Lacoste,France,30.0,Non contacte,"=IF(OR(E28<5, H28=""NON"", I28=""NON"", J28=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Lacoste,,,17/04/2023,En cours,06 87 45 16 67 / 06 52 04 50 57,contact@closdescoustoulins.com,N/D,"=IF(AND(H28=""OUI"", I28=""OUI"", J28=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
28,Combettes,Gaillac,France,31.0,Non contacte,"=IF(OR(E29<5, H29=""NON"", I29=""NON"", J29=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Gaillac,,,30/07/2025,En cours,05 63 57 61 48,contact@combettesgaillac.com,N/D,"=IF(AND(H29=""OUI"", I29=""OUI"", J29=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
29,Dans Ma Bulle,Rieumes,France,8.0,Non contacte,"=IF(OR(E30<5, H30=""NON"", I30=""NON"", J30=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Rieumes,,,24/07/2025,En cours,+33428382530,lnfo@entegraps.eu,N/D,"=IF(AND(H30=""OUI"", I30=""OUI"", J30=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
30,Dar Bounkhal,Asrir,Maroc,7.0,Non contacte,"=IF(OR(E31<5, H31=""NON"", I31=""NON"", J31=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Asrir,,,17/04/2023,En cours,+212 6 78 31 12 27 / +212 5 28 87 13 33,darbounkhal@gmail.com,N/D,"=IF(AND(H31=""OUI"", I31=""OUI"", J31=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
31,Demeure d'Arcane,Garidech,France,41.0,Non contacte,"=IF(OR(E32<5, H32=""NON"", I32=""NON"", J32=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Garidech,,,13/02/2025,En cours,06 22 93 17 84,corinnebourgela@gmail.com,N/D,"=IF(AND(H32=""OUI"", I32=""OUI"", J32=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
32,Domaine de Joucla,Alzonne,France,17.0,Non contacte,"=IF(OR(E33<5, H33=""NON"", I33=""NON"", J33=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Alzonne,,,28/02/2024,En cours,06 03 38 55 13,davidjdd@neuf.fr,N/D,"=IF(AND(H33=""OUI"", I33=""OUI"", J33=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
33,Domaine de L'ocrerie,Pourrain,France,4.0,Non contacte,"=IF(OR(E34<5, H34=""NON"", I34=""NON"", J34=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Pourrain,,,17/04/2023,En cours,+33 (0)6 07 35 10 80,contact@domainedelocrerie.com,N/D,"=IF(AND(H34=""OUI"", I34=""OUI"", J34=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
34,Domaine de la Durantie,Castelnau-de-Montmirail,France,31.0,Non contacte,"=IF(OR(E35<5, H35=""NON"", I35=""NON"", J35=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Castelnau-de-Montmirail,,,16/09/2025,En cours,+33 (0)6 15 54 33 13,reservations@domainedeladurantie.com,N/D,"=IF(AND(H35=""OUI"", I35=""OUI"", J35=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
35,Domaine de la Rivalière,Albias,France,20.0,Non contacte,"=IF(OR(E36<5, H36=""NON"", I36=""NON"", J36=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Albias,,,06/04/2023,En cours,06 21 88 88 33 / 06 12 38 26 04,domaine.rivaliere@gmail.com,N/D,"=IF(AND(H36=""OUI"", I36=""OUI"", J36=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
36,Domaine des Fargues,Sainte-Foy-de-Longas,France,19.0,Non contacte,"=IF(OR(E37<5, H37=""NON"", I37=""NON"", J37=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Sainte-Foy-de-Longas,,,15/09/2025,En cours,+33 (0)6 30 76 03 22,info@lesfargues.com,N/D,"=IF(AND(H37=""OUI"", I37=""OUI"", J37=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
37,Domaine du Château de Marquefave,Marquefave,France,21.0,Non contacte,"=IF(OR(E38<5, H38=""NON"", I38=""NON"", J38=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Marquefave,,,15/05/2024,En cours,06 19 65 32 89 / 07 71 37 25 05,lafermeduchateaumarquefave@gmail.com,N/D,"=IF(AND(H38=""OUI"", I38=""OUI"", J38=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
38,Domaine Riberach,Belesta,France,5.0,Non contacte,"=IF(OR(E39<5, H39=""NON"", I39=""NON"", J39=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Belesta,,,14/04/2023,En cours,+33 (0)4 68 50 30 10,contact@riberach.com,N/D,"=IF(AND(H39=""OUI"", I39=""OUI"", J39=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
39,Essaouira Lodge,Essaouira,Maroc,5.0,Non contacte,"=IF(OR(E40<5, H40=""NON"", I40=""NON"", J40=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Essaouira,,,18/04/2023,En cours,+212 525 072 107,contact@essaouira-lodge.com,N/D,"=IF(AND(H40=""OUI"", I40=""OUI"", J40=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
40,Gîte d'ici et d'ailleurs,Baulou,France,21.0,Non contacte,"=IF(OR(E41<5, H41=""NON"", I41=""NON"", J41=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Baulou,,,03/07/2024,En cours,+33 6 78 66 05 84,contact@legitedicietdailleurs.com,N/D,"=IF(AND(H41=""OUI"", I41=""OUI"", J41=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
41,Gîte du Bois l'Abbé,Épaignes,France,16.0,Non contacte,"=IF(OR(E42<5, H42=""NON"", I42=""NON"", J42=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Épaignes,,,25/10/2025,En cours,06 52 73 59 76,o.saillant@free.fr,N/D,"=IF(AND(H42=""OUI"", I42=""OUI"", J42=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
42,Gîte du Pignou,,,,,Non contacte,"=IF(OR(E43<5, H43=""NON"", I43=""NON"", J43=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,+33985039285 / +33616793807 / +33609452012,marc@siebens.fr,N/D,"=IF(AND(H43=""OUI"", I43=""OUI"", J43=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
43,Gîtes : l'Atelier et le Pigeonnier,Alzonne,France,10.0,Non contacte,"=IF(OR(E44<5, H44=""NON"", I44=""NON"", J44=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Alzonne,,,17/04/2024,En cours,06 22 94 60 46 / 06 12 89 05 69,anne.rigaud63@gmail.com,N/D,"=IF(AND(H44=""OUI"", I44=""OUI"", J44=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
44,Gîtes du Daudou,Septfonds,France,17.0,Non contacte,"=IF(OR(E45<5, H45=""NON"", I45=""NON"", J45=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Septfonds,,,21/03/2024,En cours,06 25 65 24 85,gitesdudaudou@yahoo.com,N/D,"=IF(AND(H45=""OUI"", I45=""OUI"", J45=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
45,Hotel Fun Paris,Paris,France,21.0,Non contacte,"=IF(OR(E46<5, H46=""NON"", I46=""NON"", J46=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,NON,, ,Voir, ,,, ,Paris,,,14/08/2025,En cours,06 63 19 19 87,N/D (Formulaire),N/D,"=IF(AND(H46=""OUI"", I46=""OUI"", J46=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
46,Kasalilou,Vignec,France,14.0,Non contacte,"=IF(OR(E47<5, H47=""NON"", I47=""NON"", J47=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Vignec,,,26/10/2023,En cours,06 10 92 33 24,contact@kasalilou.com,N/D,"=IF(AND(H47=""OUI"", I47=""OUI"", J47=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
47,Kom'Home,Pont-Croix,France,NON,Non contacte,"=IF(OR(E48<5, H48=""NON"", I48=""NON"", J48=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Pont-Croix,,,17/04/2023,En cours,06 65 98 14 76,N/D,N/D,"=IF(AND(H48=""OUI"", I48=""OUI"", J48=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
48,L'AccrocheCoeur,Saint Malo,France,19.0,Non contacte,"=IF(OR(E49<5, H49=""NON"", I49=""NON"", J49=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint Malo,,,14/11/2023,En cours,+33 (0)6 37 78 20 72,contact@laccrochecoeur.fr,N/D,"=IF(AND(H49=""OUI"", I49=""OUI"", J49=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
49,L'Annicha,Montpezat-de-Quercy,France,21.0,Non contacte,"=IF(OR(E50<5, H50=""NON"", I50=""NON"", J50=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montpezat-de-Quercy,,,18/06/2024,En cours,+33 (0)7 52 55 00 97,info@lannicha.com,N/D,"=IF(AND(H50=""OUI"", I50=""OUI"", J50=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
50,L'Arche de Moissac,Moissac,France,4.0,Non contacte,"=IF(OR(E51<5, H51=""NON"", I51=""NON"", J51=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Moissac,,,22/11/2023,En cours,07 85 70 90 62,contact@arche-de-moissac.com,N/D,"=IF(AND(H51=""OUI"", I51=""OUI"", J51=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
51,L'écrin de la cité - Coeur des Vignes,Carcassonne,France,34.0,Non contacte,"=IF(OR(E52<5, H52=""NON"", I52=""NON"", J52=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Carcassonne,,,26/04/2024,En cours,+33 6 08 15 09 40,contact@lecrindelacite.com,N/D,"=IF(AND(H52=""OUI"", I52=""OUI"", J52=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
52,L'écrin de la cité - Grand panorama,Carcassonne,France,33.0,Non contacte,"=IF(OR(E53<5, H53=""NON"", I53=""NON"", J53=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Carcassonne,,,26/04/2024,En cours,+33608150940,N/D,N/D,"=IF(AND(H53=""OUI"", I53=""OUI"", J53=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
53,L'écrin sous les chênes,Gradignan,France,5.0,Non contacte,"=IF(OR(E54<5, H54=""NON"", I54=""NON"", J54=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Gradignan,,,16/07/2024,En cours,06 77 31 03 58,contact@ecrinsousleschenes.com,N/D,"=IF(AND(H54=""OUI"", I54=""OUI"", J54=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
54,L'Écrit Vin,Rustiques,France,8.0,Non contacte,"=IF(OR(E55<5, H55=""NON"", I55=""NON"", J55=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Rustiques,,,31/01/2024,En cours,N/D,N/D (Booking),N/D,"=IF(AND(H55=""OUI"", I55=""OUI"", J55=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
55,l'Home à la mer,Pleubian,France,10.0,Non contacte,"=IF(OR(E56<5, H56=""NON"", I56=""NON"", J56=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Pleubian,,,18/04/2023,En cours,06 17 24 94 73,ahermann@mail.pf,N/D,"=IF(AND(H56=""OUI"", I56=""OUI"", J56=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
56,L'Igloo,Vignec,France,13.0,Non contacte,"=IF(OR(E57<5, H57=""NON"", I57=""NON"", J57=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Vignec,,,13/11/2023,En cours,06 10 92 33 24,carole.totaro@sfr.fr,N/D,"=IF(AND(H57=""OUI"", I57=""OUI"", J57=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
57,L'Oliu de l'Oustalet,Castelsarrasin,France,5.0,Non contacte,"=IF(OR(E58<5, H58=""NON"", I58=""NON"", J58=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Castelsarrasin,,,06/04/2023,En cours,06 71 12 03 91,daniele.arfelis@gmail.com,N/D,"=IF(AND(H58=""OUI"", I58=""OUI"", J58=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
58,L'Orée des Rêves,Sète,France,19.0,Non contacte,"=IF(OR(E59<5, H59=""NON"", I59=""NON"", J59=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,NON,NON,, ,Voir, ,,, ,Sète,,,20/01/2026,En cours,06 60 700 400,contact@my-happy.house,N/D,"=IF(AND(H59=""OUI"", I59=""OUI"", J59=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
