N°,Nom de l'établissement,Ville (Contact),Pays,Photos,Statut,Priorite,SITE WEB HH,DROPBOX,APPLICATION HH,Conseillés par Happy house,Écran connecté,Lien Backoffice,Lien Dropbox,Site_Perso,Adresse,CP,Ville (Propriété),Département,Région,Date de création,Statut closing,Téléphone Extrait,Email 1 Extrait,Email 2 Extrait
12,Chalet Guytoune,Morzine,France,19.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Morzine,,,15/12/2025,En cours,N/D,N/D,N/D
13,Chalet Hygge Saint Lary,Saint-Lary Soulan,France,14.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Saint-Lary Soulan,,,07/04/2023,En cours,N/D,N/D,N/D
14,Chalet le Vertical,Les 2 Alpes,France,25.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Les 2 Alpes,,,24/03/2025,En cours,+33428382530,info@entegraps.eu,N/D
15,Chalet Nantailly,Hauteluce,France,5.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Hauteluce,,,17/04/2023,En cours,N/D,N/D,N/D
16,Chalet Seignou,Azet,France,13.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Azet,,,22/11/2023,En cours,N/D,N/D,N/D
17,Chaleureux appartement,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
18,Château Bagen,Sauveterre-de-Comminges,France,45.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Sauveterre-de-Comminges,,,31/10/2025,En cours,N/D,N/D,N/D
19,Chateau d'Aigrefeuille,Aigrefeuille,France,21.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Aigrefeuille,,,14/03/2024,En cours,N/D,N/D,N/D
20,Château de la Baronnie,Lafrançaise,France,16.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Lafrançaise,,,19/07/2023,En cours,N/D,N/D,N/D
21,Chateau de Verdalle,Verdalle,France,9.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Verdalle,,,07/04/2023,En cours,N/D,N/D,N/D
22,Château La Villaine- 15 couchages,Esvres-sur-Indre,France,20.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Esvres-sur-Indre,,,25/02/2026,En cours,N/D,N/D,N/D
23,Château les Estournels,Lendou en Quercy,France,52.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Lendou en Quercy,,,12/04/2024,En cours,N/D,N/D,N/D
24,Château St Jacques d'Albas,Laure-Minervois,France,19.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Laure-Minervois,,,21/03/2024,En cours,N/D,N/D,N/D
25,Chez Pepe Merle,Paris,France,22.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Paris,,,17/10/2024,En cours,N/D,N/D,N/D
26,Chez Sandrine,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
27,Clos des coustoulins,Lacoste,France,30.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Lacoste,,,17/04/2023,En cours,N/D,N/D,N/D
28,Combettes,Gaillac,France,31.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Gaillac,,,30/07/2025,En cours,N/D,N/D,N/D
29,Dans Ma Bulle,Rieumes,France,8.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Rieumes,,,24/07/2025,En cours,+33428382530,lnfo@entegraps.eu,N/D
30,Dar Bounkhal,Asrir,Maroc,7.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Asrir,,,17/04/2023,En cours,N/D,N/D,N/D
31,Demeure d'Arcane,Garidech,France,41.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Garidech,,,13/02/2025,En cours,N/D,N/D,N/D
32,Domaine de Joucla,Alzonne,France,17.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Alzonne,,,28/02/2024,En cours,N/D,N/D,N/D
33,Domaine de L'ocrerie,Pourrain,France,4.0,Non contacte,HAUTE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Pourrain,,,17/04/2023,En cours,N/D,N/D,N/D
34,Domaine de la Durantie,Castelnau-de-Montmirail,France,31.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Castelnau-de-Montmirail,,,16/09/2025,En cours,N/D,N/D,N/D
35,Domaine de la Rivalière,Albias,France,20.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Albias,,,06/04/2023,En cours,N/D,N/D,N/D
36,Domaine des Fargues,Sainte-Foy-de-Longas,France,19.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Sainte-Foy-de-Longas,,,15/09/2025,En cours,N/D,N/D,N/D
37,Domaine du Château de Marquefave,Marquefave,France,21.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Marquefave,,,15/05/2024,En cours,N/D,N/D,N/D
38,Domaine Riberach,Belesta,France,5.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Belesta,,,14/04/2023,En cours,N/D,N/D,N/D
39,Essaouira Lodge,Essaouira,Maroc,5.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Essaouira,,,18/04/2023,En cours,N/D,N/D,N/D
40,Gîte d'ici et d'ailleurs,Baulou,France,21.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Baulou,,,03/07/2024,En cours,N/D,N/D,N/D
41,Gîte du Bois l'Abbé,Épaignes,France,16.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Épaignes,,,25/10/2025,En cours,N/D,N/D,N/D
42,Gîte du Pignou,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,+33985039285 / +33616793807 / +33609452012,marc@siebens.fr,N/D
43,Gîtes : l'Atelier et le Pigeonnier,Alzonne,France,10.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Alzonne,,,17/04/2024,En cours,N/D,N/D,N/D
44,Gîtes du Daudou,Septfonds,France,17.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Septfonds,,,21/03/2024,En cours,N/D,N/D,N/D
45,Hotel Fun Paris,Paris,France,21.0,Non contacte,HAUTE,OUI,NON,NON,, ,Voir, ,,, ,Paris,,,14/08/2025,En cours,N/D,N/D,N/D
46,Kasalilou,Vignec,France,14.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Vignec,,,26/10/2023,En cours,N/D,N/D,N/D
47,Kom'Home,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
48,L'AccrocheCoeur,Saint Malo,France,19.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint Malo,,,14/11/2023,En cours,N/D,N/D,N/D
49,L'Annicha,Montpezat-de-Quercy,France,21.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Montpezat-de-Quercy,,,18/06/2024,En cours,N/D,N/D,N/D
50,L'Arche de Moissac,Moissac,France,4.0,Non contacte,HAUTE,OUI,OUI,NON,, ,Voir,Voir,,, ,Moissac,,,22/11/2023,En cours,N/D,N/D,N/D
51,L'écrin de la cité - Coeur des Vignes,Carcassonne,France,34.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Carcassonne,,,26/04/2024,En cours,N/D,N/D,N/D
52,L'écrin de la cité - Grand panorama,Carcassonne,France,33.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Carcassonne,,,26/04/2024,En cours,+33608150940,N/D,N/D
53,L'écrin sous les chênes,Gradignan,France,5.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Gradignan,,,16/07/2024,En cours,N/D,N/D,N/D
54,L'Écrit Vin,Rustiques,France,8.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Rustiques,,,31/01/2024,En cours,N/D,N/D,N/D
55,l'Home à la mer,Pleubian,France,10.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Pleubian,,,18/04/2023,En cours,N/D,N/D,N/D
56,L'Igloo,Vignec,France,13.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Vignec,,,13/11/2023,En cours,N/D,N/D,N/D
57,L'Oliu de l'Oustalet,Castelsarrasin,France,5.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Castelsarrasin,,,06/04/2023,En cours,N/D,N/D,N/D
58,L'Orée des Rêves,chabanettes,France,19.0,Non contacte,HAUTE,OUI,NON,NON,, ,Voir, ,,, ,chabanettes,,,20/01/2026,En cours,N/D,N/D,N/D
59,L'Orée des Vignes,PFAFFENHEIM,France,6.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,PFAFFENHEIM,,,04/11/2025,En cours,N/D,N/D,N/D
60,La Bastide Rouge,Saint-Geniès-Bellevue,France,14.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Geniès-Bellevue,,,31/01/2024,En cours,N/D,N/D,N/D
61,La Bergerie Ariègeoise,Trein D'ustou,France,20.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Trein D'ustou,,,05/04/2023,En cours,N/D,N/D,N/D
62,La Charmeraie,Thésée,France,10.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Thésée,,,19/03/2025,En cours,N/D,N/D,N/D
63,La colonelle,Vignec,France,8.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Vignec,,,23/01/2024,En cours,N/D,N/D,N/D
64,La Ferme de Miramont,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
65,La ferme du Mounet,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
66,La ferme du voyageur,La Salle les Alpes,France,14.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,La Salle les Alpes,,,23/04/2025,En cours,+33428382530,info@entegraps.eu,N/D
67,La Feuilleraie,Montseret,France,18.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Montseret,,,24/04/2025,En cours,+33428382530,N/D,N/D
68,La forge,Montseret,France,12.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Montseret,,,24/04/2025,En cours,+33428382530,N/D,N/D
69,La grande maison Mazamet,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
70,La Grange,Saint-Papoul,France,5.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Saint-Papoul,,,11/05/2023,En cours,N/D,N/D,N/D
71,La Grange de Valade,Saint-Antonin-Noble-Val,France,20.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Antonin-Noble-Val,,,07/04/2023,En cours,N/D,N/D,N/D
72,La Jolie Vie,Le Buisson de Cadouin,France,21.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Le Buisson de Cadouin,,,16/05/2024,En cours,N/D,N/D,N/D
73,La Magnanerie de Dions,Dions,France,12.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Dions,,,18/04/2023,En cours,N/D,N/D,N/D
74,La Maison - Grignan,Grignan,France,14.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Grignan,,,30/04/2025,En cours,+33428382530,N/D,N/D
75,La maison d'Elhora,Montréal-Les-Sources,France,19.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Montréal-Les-Sources,,,24/03/2025,En cours,+33428382530,info@entegraps.eu,N/D
76,La Maison de Clément,Lisle sur Tam,France,15.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Lisle sur Tam,,,27/11/2025,En cours,N/D,N/D,N/D
77,La Maison de Romain,Puycelsi,France,14.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Puycelsi,,,19/07/2023,En cours,N/D,N/D,N/D
78,La Maison des Arcades,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
79,La Maison des Artistes,Aragon,France,20.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Aragon,,,14/05/2024,En cours,N/D,N/D,N/D
80,La maison des Douceurs,Bussang,France,20.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Bussang,,,18/06/2024,En cours,N/D,N/D,N/D
81,La maison du château,Belesta,France,4.0,Non contacte,HAUTE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Belesta,,,18/04/2023,En cours,N/D,N/D,N/D
82,La Noë éco gîte,Servon-sur-Vilaine,France,11.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Servon-sur-Vilaine,,,17/04/2023,En cours,N/D,N/D,N/D
83,La pause noble val,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
84,La Péniche Saint-Louis,Toulouse,France,8.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Toulouse,,,31/01/2024,En cours,N/D,N/D,N/D
85,La petite écurie,Montseret,France,14.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Montseret,,,24/04/2025,En cours,+33428382530,N/D,N/D
86,La planque des super-héros,Saint-Salvy,France,14.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Salvy,,,20/12/2024,En cours,N/D,N/D,N/D
87,La ville en rose,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
88,LBDR,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
89,Le Boudoir d'Olympe,Montauban,France,13.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Montauban,,,26/02/2024,En cours,N/D,N/D,N/D
90,Le Chalet Cathare,Saissac,France,3.0,Non contacte,HAUTE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Saissac,,,26/09/2025,En cours,N/D,N/D,N/D
91,Le château de Valmy,Argelès-sur-Mer,France,7.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Argelès-sur-Mer,,,18/04/2023,En cours,N/D,N/D,N/D
92,Le Dolce Vita,Saint-Lary Soulan,France,4.0,Non contacte,HAUTE,OUI,NON,NON,, ,Voir, ,,, ,Saint-Lary Soulan,,,02/03/2026,En cours,N/D,N/D,N/D
93,Le Domaine d'Engrazac,Labastide d'Anjou,France,22.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Labastide d'Anjou,,,11/02/2023,En cours,N/D,N/D,N/D
94,Le Domaine de Monda,Ayzac-Ost,France,15.0,Non contacte,HAUTE,OUI,NON,NON,, ,Voir, ,,, ,Ayzac-Ost,,,18/12/2024,En cours,N/D,N/D,N/D
95,Le domaine du Belvédère,Lauzerte,France,24.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Lauzerte,,,03/11/2018,En cours,N/D,N/D,N/D
96,Le Doux Nid,Chanaz,France,5.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Chanaz,,,18/04/2023,En cours,N/D,N/D,N/D
97,Le Fafarua Lodge,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
98,Le Flacon de la Verrouille,Bruniquel,France,14.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Bruniquel,,,01/06/2023,En cours,N/D,N/D,N/D
99,Le gîte du Pigeonnier,Alzonne,France,5.0,Non contacte,HAUTE,OUI,NON,NON,, ,Voir, ,,, ,Alzonne,,,14/05/2024,En cours,N/D,N/D,N/D
100,Le Grand Bassin,Castelnaudary,France,14.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Castelnaudary,,,26/09/2024,En cours,N/D,N/D,N/D
101,Le Hameau du Perrat,Lion-en-Sullias,France,10.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Lion-en-Sullias,,,20/12/2024,En cours,N/D,N/D,N/D
102,Le Jardin Secret & Au temps Suspendu,Montpezat-de-Quercy,France,7.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Montpezat-de-Quercy,,,18/07/2025,En cours,+33428382530,lnfo@entegraps.eu,N/D
103,Le Manoir d'Amiel,Villegailhenc,France,20.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Villegailhenc,,,14/05/2024,En cours,N/D,N/D,N/D
104,Le Manoir de la Perrière,Messas,France,10.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Messas,,,16/12/2024,En cours,N/D,N/D,N/D
105,Le Moulin de Bouqueuil,SAINT LUBIN EN VERGONNOIS,France,17.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,SAINT LUBIN EN VERGONNOIS,,,13/11/2024,En cours,N/D,N/D,N/D
106,Le Moulin de la Brevette,Arbigny,France,7.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Arbigny,,,10/04/2025,En cours,+33428382530,info@entegraps.eu,N/D
107,Le Petit Hôtel du Flouka,Marrakech,Maroc,12.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Marrakech,,,18/04/2023,En cours,N/D,N/D,N/D
108,Le Pré Carré,Saint-Lary Soulan,France,6.0,Non contacte,HAUTE,OUI,NON,NON,, ,Voir, ,,, ,Saint-Lary Soulan,,,02/03/2026,En cours,N/D,N/D,N/D
109,Le Refuge Toulousain,Toulouse,France,15.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Toulouse,,,06/03/2024,En cours,N/D,N/D,N/D
110,Le Vieux Pressoir,Dieffenthal,France,19.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Dieffenthal,,,04/11/2025,En cours,+33679290605,fgb.hospitalite@gmail.com,N/D
111,Les 3 anges de Sigean,Sigean,France,21.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Sigean,,,27/05/2024,En cours,+33619073191 / +33662091703 / +33468488003 / +33647062393 / +33964405808,N/D,N/D
112,Les Bastides de Roquemaure,Roquemaure,France,15.0,Non contacte,HAUTE,OUI,NON,OUI,, ,Voir, ,,, ,Roquemaure,,,16/10/2024,En cours,N/D,N/D,N/D
113,Les chalets du Bonheur,Les Houches,France,8.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Les Houches,,,16/12/2025,En cours,N/D,N/D,N/D
114,Les chaumières de Fort Moville,Fort-Moville,France,10.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Fort-Moville,,,25/10/2025,En cours,N/D,N/D,N/D
115,Les Congères,Pernet-Mugnier,France,12.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Pernet-Mugnier,,,25/07/2025,En cours,N/D,N/D,N/D
116,Les coulisses du château,Nègrepelisse,France,20.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Nègrepelisse,,,23/10/2023,En cours,N/D,N/D,N/D
117,Les Gîtes de Couet,Caumont,France,15.0,Non contacte,HAUTE,OUI,NON,OUI,, ,Voir, ,,, ,Caumont,,,01/02/2024,En cours,N/D,N/D,N/D
118,Les gites de mélodie - Estialescq,Estialescq,France,9.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Estialescq,,,15/10/2025,En cours,N/D,N/D,N/D
119,Les gîtes de Mélodie - Oloron Sainte Marie,Olorons Sainte-Marie,France,13.0,Non contacte,HAUTE,OUI,NON,OUI,, ,Voir, ,,, ,Olorons Sainte-Marie,,,15/10/2025,En cours,N/D,N/D,N/D
120,Les gîtes de Melody St Pierre,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
121,Les Granges de l'Abbaye,Ginals,France,15.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Ginals,,,01/06/2023,En cours,N/D,N/D,N/D
122,Les Hauts de Jeanvert,Gaillac,France,23.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Gaillac,,,26/02/2024,En cours,N/D,N/D,N/D
123,Les Hauts de Rebelliou,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,+33664566150,contact@leshautsdurebeillou.com,N/D
124,Les hauts du Rebeillou,Flourens,France,7.0,Non contacte,HAUTE,OUI,NON,OUI,, ,Voir, ,,, ,Flourens,,,26/09/2024,En cours,N/D,N/D,N/D
125,Les pieds dans l'eau,Saint-Cyprien plage,France,17.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Saint-Cyprien plage,,,11/02/2023,En cours,N/D,N/D,N/D
126,Les villas du Vendoule,Saint-Maurice-d'Ardèche,France,20.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Maurice-d'Ardèche,,,15/12/2025,En cours,N/D,N/D,N/D
127,Loft d'Oc,Fabrezan,France,32.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Fabrezan,,,18/12/2023,En cours,N/D,N/D,N/D
128,Loft Musha,Pin-Balma,France,16.0,Non contacte,HAUTE,OUI,NON,NON,, ,Voir, ,,, ,Pin-Balma,,,05/07/2024,En cours,N/D,N/D,N/D
129,Lou Papagai,Saint-Antonin-Noble-Val,France,17.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Antonin-Noble-Val,,,07/04/2023,En cours,N/D,N/D,N/D
130,Madame Les Vans,Les Vans,France,15.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Les Vans,,,26/09/2024,En cours,N/D,N/D,N/D
131,Magic Bus,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
132,Maison La Fleur de Boüard,Neac,France,16.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Neac,,,11/07/2025,En cours,N/D,N/D,N/D
133,Maison Seignou,Azet,France,24.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Azet,,,20/11/2023,En cours,N/D,N/D,N/D
134,Maison Serendipity,Montlivault,France,13.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Montlivault,,,25/10/2024,En cours,N/D,N/D,N/D
135,Maylandie,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
136,Natura Zome,Caylus,France,4.0,Non contacte,HAUTE,OUI,OUI,NON,, ,Voir,Voir,,, ,Caylus,,,06/04/2023,En cours,N/D,N/D,N/D
137,NO GO  Autrement lieux de pause,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
138,NO GO Gite de Loustalneve,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
139,NO GO L'alcove du 510,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
140,NO GO La colline de Boutiès,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
141,Notre Villa de la Baie de Cook,,,,,Non contacte,HAUTE,NON,OUI,OUI,,Écran connecté, ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
