N°,Nom de l'établissement,Ville (Contact),Pays,Photos,Statut,Priorite,SITE WEB HH,DROPBOX,APPLICATION HH,Conseillés par Happy house,Écran connecté,Lien Backoffice,Lien Dropbox,Site_Perso,Adresse,CP,Ville (Propriété),Département,Région,Date de création,Statut closing,Téléphone Extrait,Email 1 Extrait,Email 2 Extrait,Alerte Complétude
11,Le Fafarua Lodge,Tikehau,Polynésie française,NON,A supprimer par CnC (Supprimer),"=IF(OR(E12<5, H12=""NON"", I12=""NON"", J12=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Tikehau,,,17/04/2023,,+689 87 23 02 02,contact@fafarualodge.com,N/D,"=IF(AND(H12=""OUI"", I12=""OUI"", J12=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
12,L'Home à la mer,Pleubian,France,10.0,Publié (Conserver),"=IF(OR(E13<5, H13=""NON"", I13=""NON"", J13=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Pleubian,,,18/04/2023,,06 17 24 94 73,ahermann@mail.pf,N/D,"=IF(AND(H13=""OUI"", I13=""OUI"", J13=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
13,Maison de la Baie de Cook,,,0,A décider (A appeler),"=IF(OR(E14<5, H14=""NON"", I14=""NON"", J14=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,98,,,En cours,N/D,N/D,N/D,"=IF(AND(H14=""OUI"", I14=""OUI"", J14=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
14,Kom'Home,Pont-Croix,France,NON,NO GO,"=IF(OR(E15<5, H15=""NON"", I15=""NON"", J15=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Pont-Croix,,,17/04/2023,,06 65 98 14 76,N/D,N/D,"=IF(AND(H15=""OUI"", I15=""OUI"", J15=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
15,Le Doux Nid,Chanaz,France,5.0,A décider (A appeler),"=IF(OR(E16<5, H16=""NON"", I16=""NON"", J16=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Chanaz,,,18/04/2023,,04 79 63 22 14,le.doux.nid@gmail.com,N/D,"=IF(AND(H16=""OUI"", I16=""OUI"", J16=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
16,Dar Bounkhal,Asrir,Maroc,7.0,A décider (A appeler),"=IF(OR(E17<5, H17=""NON"", I17=""NON"", J17=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Asrir,,,17/04/2023,,+212 6 78 31 12 27 / +212 5 28 87 13 33,darbounkhal@gmail.com,N/D,"=IF(AND(H17=""OUI"", I17=""OUI"", J17=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
17,Essaouira Lodge,Essaouira,Maroc,5.0,A décider (A appeler),"=IF(OR(E18<5, H18=""NON"", I18=""NON"", J18=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Essaouira,,,18/04/2023,,+212 525 072 107,contact@essaouira-lodge.com,N/D,"=IF(AND(H18=""OUI"", I18=""OUI"", J18=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
18,Le Petit Hôtel du Flouka,Marrakech,Maroc,12.0,A décider (A appeler),"=IF(OR(E19<5, H19=""NON"", I19=""NON"", J19=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Marrakech,,,18/04/2023,,+212 6 64 49 26 60,leflouka@gmail.com,N/D,"=IF(AND(H19=""OUI"", I19=""OUI"", J19=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
19,Riad Soleil du Monde,Amazraou,Maroc,4.0,A décider (A appeler),"=IF(OR(E20<5, H20=""NON"", I20=""NON"", J20=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Amazraou,,,11/05/2023,,+212 661 687 131,almalamzrou@yahoo.fr,N/D,"=IF(AND(H20=""OUI"", I20=""OUI"", J20=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
20,Le Château de Valmy,Argelès-sur-Mer,France,7.0,A décider (A appeler),"=IF(OR(E21<5, H21=""NON"", I21=""NON"", J21=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Argelès-sur-Mer,,,18/04/2023,,04 68 81 25 70,contact@chateau-valmy.com,N/D,"=IF(AND(H21=""OUI"", I21=""OUI"", J21=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
21,La Magnanerie de Dions,Dions,France,12.0,Publié (Conserver),"=IF(OR(E22<5, H22=""NON"", I22=""NON"", J22=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Dions,,,18/04/2023,,06 80 20 90 66,lamagnaneriededions@gmail.com,N/D,"=IF(AND(H22=""OUI"", I22=""OUI"", J22=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
22,Atlas Kasbah Ecolodge,Agadir,Maroc,NON,A décider (A appeler),"=IF(OR(E23<5, H23=""NON"", I23=""NON"", J23=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,OUI,,Écran connecté, ,Voir,,, ,Agadir,,,17/04/2023,,+212 661 488 504 / +212 662 188 889,contact@atlaskasbah.com,N/D,"=IF(AND(H23=""OUI"", I23=""OUI"", J23=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
23,Ecogite La Nöe,,,0,Publié (Conserver),"=IF(OR(E24<5, H24=""NON"", I24=""NON"", J24=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,35,,,En cours,N/D,N/D,N/D,"=IF(AND(H24=""OUI"", I24=""OUI"", J24=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
24,Domaine de l'Ocrerie,Pourrain,France,4.0,A décider (A appeler),"=IF(OR(E25<5, H25=""NON"", I25=""NON"", J25=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Pourrain,,,17/04/2023,,+33 (0)6 07 35 10 80,contact@domainedelocrerie.com,N/D,"=IF(AND(H25=""OUI"", I25=""OUI"", J25=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
25,Riad La Porte du Bouregreg,Sale,Maroc,5.0,A décider (A appeler),"=IF(OR(E26<5, H26=""NON"", I26=""NON"", J26=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Sale,,,11/05/2023,,+212 6 11 34 35 50,riadlaportedubouregreg@gmail.com,N/D,"=IF(AND(H26=""OUI"", I26=""OUI"", J26=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
26,La bergerie Ariegeoise,Trein D'ustou,France,20.0,Publié (Conserver),"=IF(OR(E27<5, H27=""NON"", I27=""NON"", J27=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Trein D'ustou,,,05/04/2023,,06 60 700 400,contact@my-happy.house,N/D,"=IF(AND(H27=""OUI"", I27=""OUI"", J27=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
27,Chalet Hygge,Saint-Lary Soulan,France,14.0,Publié (Conserver),"=IF(OR(E28<5, H28=""NON"", I28=""NON"", J28=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Saint-Lary Soulan,,,07/04/2023,,+33 6 74 87 41 20,contact@locationshygge.com,N/D,"=IF(AND(H28=""OUI"", I28=""OUI"", J28=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
28,Suite 785,Montauban,France,NON,NO GO (A supprimer),"=IF(OR(E29<5, H29=""NON"", I29=""NON"", J29=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,,06 58 41 67 00,contact@suite785-montauban.com,N/D,"=IF(AND(H29=""OUI"", I29=""OUI"", J29=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
29,Natura Zome,Caylus,France,4.0,NO GO (A supprimer),"=IF(OR(E30<5, H30=""NON"", I30=""NON"", J30=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Caylus,,,06/04/2023,,06 07 88 11 98,naturazome@gmail.com,N/D,"=IF(AND(H30=""OUI"", I30=""OUI"", J30=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
30,Les terrasses de l'oliu de l'oustalet,Castelsarrasin,France,5.0,NO GO,"=IF(OR(E31<5, H31=""NON"", I31=""NON"", J31=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Castelsarrasin,,,06/04/2023,,06 71 12 03 91,daniele.arfelis@gmail.com,N/D,"=IF(AND(H31=""OUI"", I31=""OUI"", J31=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
31,Aux coteaux d'aussac,L'Honor-de-Cos,France,5.0,NO GO,"=IF(OR(E32<5, H32=""NON"", I32=""NON"", J32=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,L'Honor-de-Cos,,,06/04/2023,,05 63 67 35 15 / 06 49 45 07 98,auxcoteauxdaussac@gmail.com,N/D,"=IF(AND(H32=""OUI"", I32=""OUI"", J32=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
32,Le Domaine de la Rivalière,Albias,France,20.0,NO GO,"=IF(OR(E33<5, H33=""NON"", I33=""NON"", J33=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Albias,,,06/04/2023,,06 21 88 88 33 / 06 12 38 26 04,domaine.rivaliere@gmail.com,N/D,"=IF(AND(H33=""OUI"", I33=""OUI"", J33=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
33,La grange de Valade,Saint-Antonin-Noble-Val,France,20.0,Publié (Conserver),"=IF(OR(E34<5, H34=""NON"", I34=""NON"", J34=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Antonin-Noble-Val,,,07/04/2023,,06 07 60 14 61,N/D,N/D,"=IF(AND(H34=""OUI"", I34=""OUI"", J34=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
34,Magic Bus,Fenouillet,France,NON,NO GO,"=IF(OR(E35<5, H35=""NON"", I35=""NON"", J35=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,,06 59 09 11 65,N/D,N/D,"=IF(AND(H35=""OUI"", I35=""OUI"", J35=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
35,No GO - La grande maison Mazamet,Mazamet,France,NON,NO GO,"=IF(OR(E36<5, H36=""NON"", I36=""NON"", J36=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Mazamet,,,17/04/2023,,09 87 03 23 12 / 06 60 31 82 63,contact@lagrandemaisonmazamet.fr,N/D,"=IF(AND(H36=""OUI"", I36=""OUI"", J36=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
36,Le chateau de verdalle,Verdalle,France,9.0,A décider (A appeler),"=IF(OR(E37<5, H37=""NON"", I37=""NON"", J37=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Verdalle,,,07/04/2023,,06 37 68 35 94 / 05 63 71 09 45,chateaudeverdalle81@gmail.com,N/D,"=IF(AND(H37=""OUI"", I37=""OUI"", J37=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
37,NO GO Gite de Loustalneve,Bourg-de-Visa,France,NON,NO GO Gite de Loustalneve,"=IF(OR(E38<5, H38=""NON"", I38=""NON"", J38=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,,07 82 37 20 95,N/D (Formulaire),N/D,"=IF(AND(H38=""OUI"", I38=""OUI"", J38=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
38,NO GO - Chaleureux appartement,Toulouse,France,NON,NO GO - Chaleureux appartement,"=IF(OR(E39<5, H39=""NON"", I39=""NON"", J39=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Toulouse,,,17/04/2023,,N/D,N/D,N/D,"=IF(AND(H39=""OUI"", I39=""OUI"", J39=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
39,Lou Papagai,Saint-Antonin-Noble-Val,France,17.0,Publié (Conserver),"=IF(OR(E40<5, H40=""NON"", I40=""NON"", J40=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Saint-Antonin-Noble-Val,,,07/04/2023,,06 77 97 40 86 / 05 63 26 42 76,contact@loupapagai.com,N/D,"=IF(AND(H40=""OUI"", I40=""OUI"", J40=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
40,Aux rives de la courtade,Rivière,France,5.0,NO GO,"=IF(OR(E41<5, H41=""NON"", I41=""NON"", J41=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Rivière,,,17/04/2023,,06 10 08 57 94 / 06 22 26 32 70,auxrivesdelacourtade@gmail.com,N/D,"=IF(AND(H41=""OUI"", I41=""OUI"", J41=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
41,NO GO - Gîte du Pignou,,,,NO GO - Gîte du Pignou,"=IF(OR(E42<5, H42=""NON"", I42=""NON"", J42=""NON""), ""HAUTE"", ""MOYENNE"")","=IF(OR(E43<5, H43=""NON"", I43=""NON"", J43=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,,,En cours,+33985039285 / +33616793807 / +33609452012,marc@siebens.fr,"=IF(AND(H42=""OUI"", I42=""OUI"", J42=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
42,NO GO - La ville en rose,Colomiers,France,NON,NO GO - La ville en rose,"=IF(OR(E43<5, H43=""NON"", I43=""NON"", J43=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Colomiers,,,17/04/2023,,05 32 00 20 93,lavilleenrosetoulouse@gmail.com,N/D,"=IF(AND(H43=""OUI"", I43=""OUI"", J43=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
43,NO GO L'alcove du 510,Montauban,France,NON,NO GO L'alcove du 510,"=IF(OR(E44<5, H44=""NON"", I44=""NON"", J44=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,,,, ,,06 33 67 17 40,alcoveredu510@gmail.com,N/D,"=IF(AND(H44=""OUI"", I44=""OUI"", J44=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
44,NO GO - Un air de famille,Faudoas,France,11.0,NO GO - Un air de famille,"=IF(OR(E45<5, H45=""NON"", I45=""NON"", J45=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Faudoas,,,09/05/2023,,06 73 22 20 55,giteunairdefamille@gmail.com,N/D,"=IF(AND(H45=""OUI"", I45=""OUI"", J45=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
45,Les granges de l'abbaye,Ginals,France,15.0,Publié (Conserver),"=IF(OR(E46<5, H46=""NON"", I46=""NON"", J46=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Ginals,,,01/06/2023,,07 87 20 71 90,contact@lesgrangesdelabbaye.com,N/D,"=IF(AND(H46=""OUI"", I46=""OUI"", J46=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
46,NO GO - Le Flacon de la verrouille,Bruniquel,France,14.0,NO GO - Le Flacon de la verrouille,"=IF(OR(E47<5, H47=""NON"", I47=""NON"", J47=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Bruniquel,,,01/06/2023,,05 81 04 87 78 / 06 29 58 71 72,laverrouille@gmail.com,N/D,"=IF(AND(H47=""OUI"", I47=""OUI"", J47=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
47,NO GO - Chez Sandrine,Cilaos,Réunion,NON,NO GO - Chez Sandrine,"=IF(OR(E48<5, H48=""NON"", I48=""NON"", J48=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, ,N/D,N/D,,, ,Cilaos,,,17/04/2023,,02 62 01 09 87 / 06 92 35 08 60,sandijoux@gmail.com,N/D,"=IF(AND(H48=""OUI"", I48=""OUI"", J48=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
48,La Maison de Romain,Puycelsi,France,14.0,Publié (Conserver),"=IF(OR(E49<5, H49=""NON"", I49=""NON"", J49=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Puycelsi,,,19/07/2023,,05 63 33 26 63 / 06 37 93 99 42,info@chateau-de-terride.com,N/D,"=IF(AND(H49=""OUI"", I49=""OUI"", J49=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
49,Château de la Baronnie,Lafrançaise,France,16.0,Publié (Conserver),"=IF(OR(E50<5, H50=""NON"", I50=""NON"", J50=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Lafrançaise,,,19/07/2023,,06 81 56 61 92,chateaulabaronnie@gmail.com,N/D,"=IF(AND(H50=""OUI"", I50=""OUI"", J50=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
50,Les coulisses du chateau,Nègrepelisse,France,20.0,Publié (Conserver),"=IF(OR(E51<5, H51=""NON"", I51=""NON"", J51=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Nègrepelisse,,,23/10/2023,,06 84 60 05 86,lescoulissesduchateau@gmail.com,N/D,"=IF(AND(H51=""OUI"", I51=""OUI"", J51=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
51,Kasalilou,Vignec,France,14.0,Publié (Conserver),"=IF(OR(E52<5, H52=""NON"", I52=""NON"", J52=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Vignec,,,26/10/2023,,06 10 92 33 24,contact@kasalilou.com,N/D,"=IF(AND(H52=""OUI"", I52=""OUI"", J52=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
52,L'igloo,Vignec,France,13.0,Publié (Conserver),"=IF(OR(E53<5, H53=""NON"", I53=""NON"", J53=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Vignec,,,13/11/2023,,06 10 92 33 24,carole.totaro@sfr.fr,N/D,"=IF(AND(H53=""OUI"", I53=""OUI"", J53=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
53,Arbiview,Grezian,France,27.0,Publié (Conserver),"=IF(OR(E54<5, H54=""NON"", I54=""NON"", J54=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Grezian,,,26/10/2023,,06 14 46 29 75 / 06 27 08 60 00,location@arbiview.com,N/D,"=IF(AND(H54=""OUI"", I54=""OUI"", J54=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
54,L'accroche coeur,,,0,A décider (A appeler),"=IF(OR(E55<5, H55=""NON"", I55=""NON"", J55=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,35,,,En cours,N/D,N/D,N/D,"=IF(AND(H55=""OUI"", I55=""OUI"", J55=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
55,Un jardin en ville,Toulouse,France,7.0,Publié (Conserver),"=IF(OR(E56<5, H56=""NON"", I56=""NON"", J56=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Toulouse,,,14/11/2023,,+33 6 98 00 25 32,N/D (Dreamsway),N/D,"=IF(AND(H56=""OUI"", I56=""OUI"", J56=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
56,L'arche de moissac,Moissac,France,4.0,A supprimer par CnC (Supprimer),"=IF(OR(E57<5, H57=""NON"", I57=""NON"", J57=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Moissac,,,22/11/2023,,07 85 70 90 62,contact@arche-de-moissac.com,N/D,"=IF(AND(H57=""OUI"", I57=""OUI"", J57=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
57,La maison Seignou,Azet,France,24.0,Publié (Conserver),"=IF(OR(E58<5, H58=""NON"", I58=""NON"", J58=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Azet,,,20/11/2023,,05 62 39 19 03,maisonseignou@gmail.com,N/D,"=IF(AND(H58=""OUI"", I58=""OUI"", J58=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
58,Chalet Seignou,Azet,France,13.0,Publié (Conserver),"=IF(OR(E59<5, H59=""NON"", I59=""NON"", J59=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Azet,,,22/11/2023,,05 62 39 19 03 / 07 65 85 05 01,maisonseignou@gmail.com,N/D,"=IF(AND(H59=""OUI"", I59=""OUI"", J59=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
